episode_id,combo_id,n_ood_dims,split,length_lo,length_hi,angle_lo,angle_hi,gravity_lo,gravity_hi,damping_lo,damping_hi,angvel_lo,angvel_hi
0,51,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
1,172,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
2,10,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-1.02,1.02
3,64,1,near_ood,0.5,0.995,61.9,85.0,7.3,10.7,0.01,0.1717,-1.02,1.02
4,206,1,near_ood,1.505,2.0,38.1,61.9,7.3,10.7,0.3383,0.5,1.02,3.0
5,36,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
6,24,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
7,9,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
8,46,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
9,13,1,near_ood,0.5,0.995,15.0,38.1,7.3,10.7,0.1717,0.3383,-1.02,1.02
10,207,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-3.0,-1.02
11,106,1,near_ood,0.995,1.505,15.0,38.1,10.7,14.0,0.3383,0.5,-1.02,1.02
12,24,0,iid,0.5,0.995,15.0,38.1,10.7,14.0,0.3383,0.5,-3.0,-1.02
13,15,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.3383,0.5,-3.0,-1.02
14,155,3,far_ood,0.995,1.505,61.9,85.0,10.7,14.0,0.01,0.1717,1.02,3.0
15,108,2,near_ood,0.995,1.505,38.1,61.9,4.0,7.3,0.01,0.1717,-3.0,-1.02
16,69,1,near_ood,0.5,0.995,61.9,85.0,7.3,10.7,0.3383,0.5,-3.0,-1.02
17,208,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.01,0.1717,-1.02,1.02
18,13,1,near_ood,0.5,0.995,15.0,38.1,7.3,10.7,0.1717,0.3383,-1.02,1.02
19,9,0,iid,0.5,0.995,15.0,38.1,7.3,10.7,0.01,0.1717,-3.0,-1.02
20,20,1,near_ood,0.5,0.995,15.0,38.1,10.7,14.0,0.01,0.1717,1.02,3.0
21,213,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
22,163,1,near_ood,1.505,2.0,15.0,38.1,4.0,7.3,0.01,0.1717,-1.02,1.02
23,117,1,near_ood,0.995,1.505,38.1,61.9,7.3,10.7,0.01,0.1717,-3.0,-1.02
24,204,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.3383,0.5,-3.0,-1.02
25,175,1,near_ood,1.505,2.0,15.0,38.1,7.3,10.7,0.1717,0.3383,-1.02,1.02
26,51,0,iid,0.5,0.995,38.1,61.9,10.7,14.0,0.3383,0.5,-3.0,-1.02
27,221,4,far_ood,1.505,2.0,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
28,140,5,far_ood,0.995,1.505,61.9,85.0,4.0,7.3,0.1717,0.3383,1.02,3.0
29,167,3,far_ood,1.505,2.0,15.0,38.1,4.0,7.3,0.1717,0.3383,1.02,3.0
30,214,0,iid,1.505,2.0,38.1,61.9,10.7,14.0,0.3383,0.5,-1.02,1.02
31,199,0,iid,1.505,2.0,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
32,177,0,iid,1.505,2.0,15.0,38.1,7.3,10.7,0.3383,0.5,-3.0,-1.02
33,37,0,iid,0.5,0.995,38.1,61.9,7.3,10.7,0.01,0.1717,-1.02,1.02
